term,estimate,std.error,robust.se,statistic,p.value,model
COHORThistorical,-0.4567400399785547,0.07050719010552306,0.050756851218355395,-8.998588939523932,2.286372560595455e-19,Overall
COHORTunexposed,-0.23345994333859837,0.04625179361292838,0.039372347363081144,-5.929540882734115,3.037828720292203e-9,Overall
age,0.01649830172190546,0.0010369689073232646,0.0011301667912665344,14.598112286962925,2.8872976798331295e-48,Overall
antihypertensives,0.9029756400059126,0.035105639612042557,0.03363561475287547,26.845819428013225,9.437915892676589e-159,Overall
nhblack,0.4189324247562789,0.037266733894810646,0.043798956084510024,9.564895198596728,1.1231521077798686e-21,Overall
hispanic,0.14807364438663784,0.04798108970593216,0.04536095670514513,3.2643413001437507,0.0010971890988047924,Overall
smoking,0.537780163523325,0.05546516699705139,0.05063089175243403,10.621581902070128,2.3651857369759998e-26,Overall
siteSource2,0.45481806366456573,0.06716819182294366,0.05799734889904656,7.842049202218667,4.432526083836775e-15,Overall
siteSource3,-0.5991159557187533,0.10337691956965235,0.09405721046339705,-6.369697259434491,1.8940168050009978e-10,Overall
siteSource4,-0.9726432816959787,0.10666501865901641,0.10262205914317084,-9.477916247412434,2.5941136862822465e-21,Overall
siteSource5,0.5320508883095136,0.06907568292234502,0.0734925111702288,7.239525222877988,4.5025814179091716e-13,Overall
siteSource6,-12.147360704343587,210.5221761049835,0.07069857185848964,-171.8190394094206,0,Overall
siteSource7,0.4503301475395308,0.08033528746599662,0.07475290050037901,6.024249822082122,1.6989577412591818e-9,Overall
hospitalization,-0.027448343020991983,0.03811580775333735,0.042338463059264066,-0.6483074971939969,0.5167860859240433,Overall
hba1c,0.4324308292336976,0.006143780107663023,0.013674356600338935,31.623486345454765,1.755936164179721e-219,Overall
serum_creatinine,0.036933237664674635,0.011817051065427818,0.010406338180984789,3.5491098811454838,3.865357478924124e-4,Overall
hdl,-0.021152846265686073,0.0016431785205753653,0.001796725129106388,-11.77300073506879,5.377698726642236e-32,Overall
ldl,-7.444568880746213e-4,5.766850602860567e-4,6.370854451120259e-4,-1.1685353884418361,0.24259087327637435,Overall
COHORThistorical,-0.4252865320660556,0.05003333075705444,0.06373184345874026,-6.673061831977046,2.505207761828702e-11,Sex
COHORTunexposed,-0.273421913213339,0.03927354428810904,0.04979753961039653,-5.490671132600597,4.0040930735738766e-8,Sex
sex_categoryMale,-0.1615394978419352,0.055193683675455095,0.0726608700173555,-2.2231979579015566,0.026202454482740258,Sex
age,0.016299464047582087,9.087922631709543e-4,0.0011157209728889245,14.608907104594492,2.4643950549439396e-48,Sex
antihypertensives,0.8964143107931914,0.031181796771888093,0.03478782040155451,25.76805043966292,2.023411021787597e-146,Sex
nhblack,0.4416174362068066,0.032716058739676916,0.04457763374012079,9.906704307845345,3.8927547679900545e-23,Sex
hispanic,0.11345907817134213,0.04347229055193674,0.04774274237082286,2.376467553750759,0.017479298585812944,Sex
smoking,0.4253637334724289,0.05080114109645417,0.051997070441344856,8.180532669667596,2.8259185948877646e-16,Sex
siteSource2,0.25297253435954464,0.061147337488089024,0.06048414560989752,4.182460243236844,2.8837145641933137e-5,Sex
siteSource3,-0.9060921492319116,0.09496899891561518,0.10241151061871472,-8.847561604723873,8.945225826137816e-19,Sex
siteSource4,-1.2710889696241239,0.09372999680896314,0.10514617537403029,-12.088779882887362,1.21071357768768e-33,Sex
siteSource5,0.3797218297712842,0.05594646982238042,0.07655758794858307,4.959950279863959,7.051122461336148e-7,Sex
siteSource6,-13.22089845159743,283.9003653590818,0.07968492561911039,-165.91467393459843,0,Sex
siteSource7,0.1747396154668895,0.07348565609646401,0.07720972740249986,2.263181354804678,0.02362451210592331,Sex
hospitalization,0.056621972918589794,0.035283805179262724,0.045156468320420966,1.253906140684253,0.20987612279935491,Sex
hba1c,0.4435136827547904,0.005610751890570409,0.013150149578853002,33.726892617861395,2.3328279878521294e-249,Sex
serum_creatinine,0.040077046035035285,0.011235378282781748,0.011438989047468063,3.5035478982214823,4.5910408090614816e-4,Sex
hdl,-0.021754294537439187,0.0015176238219507781,0.002041922484513878,-10.653829762111782,1.6733593450372486e-26,Sex
ldl,-0.0011168210516325102,5.156930188970771e-4,6.371275630966493e-4,-1.752900229593573,0.07961913420157522,Sex
COHORThistorical:sex_categoryMale,0.05083545881287908,0.08459427365858314,0.09714619881358051,0.52328819278282,0.600773716318597,Sex
COHORTunexposed:sex_categoryMale,0.011046586529134143,0.06839902328872524,0.07913166844963593,0.13959754350642617,0.8889779816147464,Sex
COHORThistorical,-0.2706141973447661,0.1463206328721763,0.13279228261347106,-2.0378759369056416,0.041562341639937606,Age
COHORTunexposed,-0.40253693733831264,0.13747396621212432,0.12742298490753157,-3.1590606485197785,0.001582785487517628,Age
age_category40 to 64,0.7628586445238178,0.11432966367073503,0.11022229471712662,6.921092021188731,4.48175226939573e-12,Age
age_category65 plus,0.4718008969840677,0.15682076942189876,0.15328296677462142,3.0779734168231294,0.002084135056849226,Age
age,0.01020378278963014,0.002391603505097076,0.0021391400365535756,4.770039649236672,1.8418966118992737e-6,Age
antihypertensives,0.8811730725551709,0.03696213265158318,0.03342651460800496,26.361500230842136,3.7887728779763066e-153,Age
nhblack,0.3809016593296278,0.03922182360090631,0.03821923819601056,9.966228457410422,2.142091083775823e-23,Age
hispanic,0.056386444912565135,0.05178774698266074,0.04490235481210033,1.2557569675025164,0.20920409792058597,Age
smoking,0.43666215851885953,0.06116827643998784,0.0516693383065035,8.451088650072723,2.8859901118932555e-17,Age
siteSource2,0.2621806188372446,0.07335080072073864,0.060011227271588925,4.36885947442319,1.2489709837436352e-5,Age
siteSource3,-0.914791102207249,0.11439083314197612,0.09913661507976558,-9.227580561139854,2.768136215760784e-20,Age
siteSource4,-1.2177677396337636,0.11012262628067848,0.10306214562185763,-11.815858599546727,3.232297504009508e-32,Age
