Estimate,SE,dfcom,LCI,UCI,term,exposure,exposure_value,modifier_value,outcome,modifier_var,modifier1,modifier1_value
-0.4987707333979693,0.0463611931654864,218848,-0.5896386720023227,-0.40790279479361596,Contrast 3,COHORThistorical,1,NA,CPIT2DM,NA,NA,NA
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,NA,NA,NA
-0.2480877558018532,0.03551886202198749,218848,-0.31770472536494865,-0.1784707862387577,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,NA,NA,NA
-0.37453485272964154,0.047659864251259676,218848,-0.4679481866621105,-0.28112151879717256,Contrast 3,COHORThistorical,1,NA,CPIT2DM,Overlap,NA,NA
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,Overlap,NA,NA
-0.19437430764742966,0.03574526887565675,218848,-0.26443503464371687,-0.12431358065114242,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,Overlap,NA,NA
-0.4658002106669393,0.06659080243742409,218848,-0.5963181834442906,-0.33528223788958805,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
-0.3078566187365104,0.05271101870091802,218848,-0.41117021539030973,-0.20454302208271105,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
-0.4656174832421738,0.061255313128755554,218848,-0.5856778969745347,-0.3455570695098129,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
-0.24874308684554652,0.0467940437904992,218848,-0.34045941267492497,-0.15702676101616808,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
-0.2856752285412547,0.13598354044970373,218848,-0.5522029678226741,-0.019147489259835393,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category18 to 39,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category18 to 39,1
-0.34550723406619877,0.11223410136616845,218848,-0.5654860727438888,-0.12552839538850863,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category18 to 39,1
-0.5027204724620444,0.05911159637433641,218848,-0.6185792013557438,-0.3868617435683451,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category40 to 64,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category40 to 64,1
-0.2853325625143084,0.0455811691955672,218848,-0.3746716541376201,-0.19599347089099667,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category40 to 64,1
-0.4068951863156306,0.08070437943981952,218848,-0.5650757700176768,-0.24871460261358433,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category65 plus,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category65 plus,1
-0.24152606688043982,0.0624528811945375,218848,-0.3639337140217333,-0.11911841973914632,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category65 plus,1
-0.43880151360990394,0.09477047676485827,206861,-0.6245516480690261,-0.25305137915078174,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
0,0,206861,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
-0.14963966889103,0.07615851147270145,206861,-0.29891035137752486,-3.6898640453517095e-4,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
-0.48844231353651846,0.07295393838122566,206861,-0.6314320327637207,-0.3454525943093162,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
0,0,206861,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
-0.3349382882548676,0.05735896876076359,206861,-0.44736186702596425,-0.22251470948377097,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
-0.48649377637364577,0.07579335571205846,206861,-0.6350487535692804,-0.3379387991780112,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
0,0,206861,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
-0.26948580539786027,0.056236576136542045,206861,-0.37970949462548265,-0.15926211617023786,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
-0.5193466755494467,0.14613336943791816,218848,-0.8057680796477662,-0.23292527145112712,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
-0.4202864170352598,0.06626938580298039,218848,-0.5501744132091013,-0.29039842086141826,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
-0.4048981665035245,0.05012068317434506,218848,-0.5031347055252409,-0.3066616274818082,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization_category,,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization_category,,1
-0.24242679304493137,0.04196581439464809,218848,-0.32467978925844165,-0.1601737968314211,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization_category,,1
