facet,Exposed,Unexposed,Historical
Overall,"1.00 	 (NaN, NaN)","0.82 	 (0.76, 0.87)","0.60 	 (0.55, 0.65)"
Female,"1.00 	 (NaN, NaN)","0.83 	 (0.75, 0.91)","0.62 	 (0.55, 0.70)"
Male,"1.00 	 (NaN, NaN)","0.78 	 (0.70, 0.86)","0.61 	 (0.54, 0.70)"
18 to 39,"1.00 	 (NaN, NaN)","0.74 	 (0.59, 0.92)","0.73 	 (0.56, 0.95)"
40 to 64,"1.00 	 (NaN, NaN)","0.80 	 (0.73, 0.87)","0.59 	 (0.53, 0.66)"
65 plus,"1.00 	 (NaN, NaN)","0.84 	 (0.75, 0.95)","0.65 	 (0.56, 0.76)"
Hispanic,"1.00 	 (NaN, NaN)","0.92 	 (0.79, 1.07)","0.63 	 (0.52, 0.76)"
NH White,"1.00 	 (NaN, NaN)","0.76 	 (0.68, 0.85)","0.59 	 (0.51, 0.68)"
NH Black,"1.00 	 (NaN, NaN)","0.81 	 (0.73, 0.91)","0.60 	 (0.51, 0.69)"
Not Hospitalized,"1.00 	 (NaN, NaN)","0.84 	 (0.77, 0.91)","0.64 	 (0.58, 0.71)"
Hospitalized,"1.00 	 (NaN, NaN)","0.71 	 (0.62, 0.80)","0.60 	 (0.45, 0.80)"
