facet,type,Exposed,Unexposed,Historical
Overall,HR,"1 (1, 1)","0.79 (0.73, 0.86)","0.63 (0.57, 0.7)"
Overall,Burden per 1000,"43.6 (47.3, 40)","35.1 (36.6, 33.5)","28.4 (30.9, 26)"
Overall,Burden relative to Exposed,"0 (NA, NA)","-8.5 (-4.6, -12.5)","-15.2 (-10.8, -19.6)"
Female,HR,"1 (1, 1)","0.76 (0.69, 0.84)","0.65 (0.58, 0.74)"
Female,Burden per 1000,"46.7 (50.9, 42.4)","36.2 (38.8, 33.6)","31.4 (35.2, 27.7)"
Female,Burden relative to Exposed,"0 (NA, NA)","-10.5 (-5.5, -15.4)","-15.3 (-9.6, -20.9)"
Male,HR,"1 (1, 1)","0.77 (0.68, 0.87)","0.69 (0.59, 0.8)"
Male,Burden per 1000,"40.2 (46.4, 34)","31.5 (34.7, 28.3)","28.3 (31.8, 24.8)"
Male,Burden relative to Exposed,"0 (NA, NA)","-8.7 (-1.8, -15.7)","-11.9 (-4.8, -19)"
18 to 39,HR,"1 (1, 1)","0.67 (0.52, 0.86)","0.76 (0.59, 0.99)"
18 to 39,Burden per 1000,"25.6 (31.3, 19.9)","17.4 (22.7, 12.2)","19.8 (24.6, 15)"
18 to 39,Burden relative to Exposed,"0 (NA, NA)","-8.2 (-0.4, -15.9)","-5.8 (1.7, -13.3)"
40 to 64,HR,"1 (1, 1)","0.74 (0.67, 0.81)","0.63 (0.56, 0.71)"
40 to 64,Burden per 1000,"52.2 (57.2, 47.3)","39.3 (41.9, 36.7)","34 (37.7, 30.3)"
40 to 64,Burden relative to Exposed,"0 (NA, NA)","-12.9 (-7.3, -18.5)","-18.3 (-12.1, -24.5)"
65 plus,HR,"1 (1, 1)","0.86 (0.74, 0.99)","0.69 (0.57, 0.82)"
65 plus,Burden per 1000,"39.9 (47.7, 32)","34.5 (38.1, 30.9)","28 (32.8, 23.1)"
65 plus,Burden relative to Exposed,"0 (NA, NA)","-5.4 (3.3, -14)","-11.9 (-2.7, -21.1)"
Hispanic,HR,"1 (1, 1)","0.9 (0.77, 1.05)","0.7 (0.57, 0.84)"
Hispanic,Burden per 1000,"40.7 (47, 34.4)","36.8 (41, 32.7)","28.9 (33.6, 24.3)"
Hispanic,Burden relative to Exposed,"0 (NA, NA)","-3.9 (3.7, -11.4)","-11.8 (-4, -19.6)"
NH White,HR,"1 (1, 1)","0.75 (0.66, 0.85)","0.62 (0.54, 0.73)"
NH White,Burden per 1000,"38.8 (43.2, 34.5)","29.5 (32.1, 26.9)","24.9 (28, 21.8)"
NH White,Burden relative to Exposed,"0 (NA, NA)","-9.3 (-4.2, -14.4)","-13.9 (-8.5, -19.3)"
NH Black,HR,"1 (1, 1)","0.73 (0.63, 0.84)","0.64 (0.54, 0.77)"
NH Black,Burden per 1000,"57.9 (68.6, 47.1)","43.1 (50.9, 35.4)","38.3 (44.9, 31.7)"
NH Black,Burden relative to Exposed,"0 (NA, NA)","-14.7 (-1.4, -28)","-19.6 (-6.9, -32.2)"
Not Hospitalized,HR,"1 (1, 1)","0.79 (0.72, 0.86)","0.69 (0.62, 0.76)"
Not Hospitalized,Burden per 1000,"42 (45.6, 38.4)","33.7 (35.6, 31.7)","29.6 (32.4, 26.9)"
Not Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-8.3 (-4.2, -12.4)","-12.3 (-7.8, -16.8)"
Hospitalized,HR,"1 (1, 1)","0.68 (0.56, 0.83)","0.6 (0.43, 0.83)"
Hospitalized,Burden per 1000,"47.5 (58.9, 36.2)","33.3 (37.7, 28.8)","29.7 (39, 20.3)"
Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-14.3 (-2.1, -26.5)","-17.9 (-3.2, -32.6)"
