facet,type,Historical,Unexposed,Exposed
Overall,HR,"1 (1, 1)","1.2 (1.07, 1.35)","1.57 (1.38, 1.8)"
Overall,HR Unexposed,"0.83 (0.74, 0.93)","1 (1, 1)","1.31 (1.18, 1.45)"
Overall,Burden per 1000,"24 (21.3, 26.6)","28.6 (27.2, 30.1)","37 (33.7, 40.4)"
Overall,Burden relative to Historical,"0 (0, 0)","4.6 (1.6, 7.7)","13 (8.7, 17.3)"
Overall,Burden relative to Unexposed,"-4.6 (-7.7, -1.6)","0 (0, 0)","8.4 (4.7, 12.1)"
Female,HR,"1 (1, 1)","1.22 (1.05, 1.42)","1.63 (1.37, 1.94)"
Female,HR Unexposed,"0.82 (0.7, 0.95)","1 (1, 1)","1.33 (1.17, 1.52)"
Female,Burden per 1000,"20.9 (17.7, 24.1)","25.3 (23.6, 27)","33.2 (29.1, 37.2)"
Female,Burden relative to Historical,"0 (0, 0)","4.4 (0.8, 8)","12.3 (7.1, 17.5)"
Female,Burden relative to Unexposed,"-4.4 (-8, -0.8)","0 (0, 0)","7.9 (3.5, 12.2)"
Male,HR,"1 (1, 1)","1.07 (0.91, 1.24)","1.45 (1.2, 1.76)"
Male,HR Unexposed,"0.94 (0.8, 1.1)","1 (1, 1)","1.36 (1.17, 1.59)"
Male,Burden per 1000,"31.5 (26.9, 36)","33.4 (30.9, 36)","45.1 (38.9, 51.3)"
Male,Burden relative to Historical,"0 (0, 0)","2 (-3.2, 7.1)","13.6 (6, 21.3)"
Male,Burden relative to Unexposed,"-2 (-7.1, 3.2)","0 (0, 0)","11.7 (5, 18.3)"
18 to 39,HR,"1 (1, 1)","0.82 (0.62, 1.08)","1.12 (0.8, 1.57)"
18 to 39,HR Unexposed,"1.23 (0.93, 1.62)","1 (1, 1)","1.38 (1.02, 1.85)"
18 to 39,Burden per 1000,"19 (13.7, 24.3)","15.6 (12.2, 19)","21.2 (14.8, 27.7)"
18 to 39,Burden relative to Historical,"0 (0, 0)","-3.4 (-9.7, 2.9)","2.2 (-6.1, 10.6)"
18 to 39,Burden relative to Unexposed,"3.4 (-2.9, 9.7)","0 (0, 0)","5.7 (-1.7, 13)"
40 to 64,HR,"1 (1, 1)","1.17 (1.01, 1.35)","1.57 (1.33, 1.86)"
40 to 64,HR Unexposed,"0.85 (0.74, 0.99)","1 (1, 1)","1.34 (1.18, 1.53)"
40 to 64,Burden per 1000,"29.2 (25, 33.5)","34 (31.6, 36.4)","45 (39.4, 50.6)"
40 to 64,Burden relative to Historical,"0 (0, 0)","4.7 (-0.2, 9.6)","15.7 (8.7, 22.8)"
40 to 64,Burden relative to Unexposed,"-4.7 (-9.6, 0.2)","0 (0, 0)","11 (4.9, 17.1)"
65 plus,HR,"1 (1, 1)","1.21 (1, 1.47)","1.64 (1.29, 2.08)"
65 plus,HR Unexposed,"0.82 (0.68, 1)","1 (1, 1)","1.35 (1.13, 1.62)"
65 plus,Burden per 1000,"22.3 (17.3, 27.4)","27 (23.5, 30.6)","36 (29, 43.1)"
65 plus,Burden relative to Historical,"0 (0, 0)","4.7 (-1.5, 10.9)","13.7 (5, 22.4)"
65 plus,Burden relative to Unexposed,"-4.7 (-10.9, 1.5)","0 (0, 0)","9 (1.1, 16.9)"
Hispanic,HR,"1 (1, 1)","1.22 (0.83, 1.8)","1.28 (0.81, 2.03)"
Hispanic,HR Unexposed,"0.82 (0.56, 1.2)","1 (1, 1)","1.05 (0.75, 1.45)"
Hispanic,Burden per 1000,"24.1 (14.7, 33.6)","29.4 (25.1, 33.6)","31.3 (21.9, 40.8)"
Hispanic,Burden relative to Historical,"0 (0, 0)","5.2 (-5.1, 15.6)","7.2 (-6.2, 20.6)"
Hispanic,Burden relative to Unexposed,"-5.2 (-15.6, 5.1)","0 (0, 0)","2 (-8.4, 12.4)"
NH White,HR,"1 (1, 1)","1.09 (0.93, 1.27)","1.5 (1.24, 1.82)"
NH White,HR Unexposed,"0.92 (0.79, 1.07)","1 (1, 1)","1.38 (1.18, 1.61)"
NH White,Burden per 1000,"22 (18.6, 25.4)","23.9 (22.3, 25.6)","32.3 (27.6, 37)"
NH White,Burden relative to Historical,"0 (0, 0)","1.9 (-1.9, 5.7)","10.3 (4.5, 16.1)"
NH White,Burden relative to Unexposed,"-1.9 (-5.7, 1.9)","0 (0, 0)","8.4 (3.4, 13.4)"
NH Black,HR,"1 (1, 1)","1.29 (1.08, 1.53)","1.73 (1.42, 2.11)"
NH Black,HR Unexposed,"0.78 (0.65, 0.93)","1 (1, 1)","1.34 (1.16, 1.56)"
NH Black,Burden per 1000,"30.7 (25.6, 35.9)","39 (35.8, 42.3)","51.7 (44.8, 58.7)"
NH Black,Burden relative to Historical,"0 (0, 0)","8.3 (2.2, 14.4)","21 (12.3, 29.7)"
NH Black,Burden relative to Unexposed,"-8.3 (-14.4, -2.2)","0 (0, 0)","12.7 (5, 20.4)"
Not Hospitalized,HR,"1 (1, 1)","1.09 (0.97, 1.23)","1.42 (1.22, 1.64)"
Not Hospitalized,HR Unexposed,"0.92 (0.81, 1.03)","1 (1, 1)","1.3 (1.15, 1.47)"
Not Hospitalized,Burden per 1000,"24.7 (21.8, 27.6)","26.8 (25.2, 28.5)","34.4 (30.6, 38.2)"
Not Hospitalized,Burden relative to Historical,"0 (0, 0)","2.1 (-1.2, 5.5)","9.7 (4.9, 14.5)"
Not Hospitalized,Burden relative to Unexposed,"-2.1 (-5.5, 1.2)","0 (0, 0)","7.6 (3.4, 11.7)"
Hospitalized,HR,"1 (1, 1)","1.28 (0.91, 1.8)","1.92 (1.33, 2.75)"
Hospitalized,HR Unexposed,"0.78 (0.56, 1.1)","1 (1, 1)","1.5 (1.25, 1.78)"
Hospitalized,Burden per 1000,"24.3 (15.9, 32.6)","31.1 (28.4, 33.7)","45.6 (38.3, 52.9)"
Hospitalized,Burden relative to Historical,"0 (0, 0)","6.8 (-2, 15.6)","21.3 (10.2, 32.4)"
Hospitalized,Burden relative to Unexposed,"-6.8 (-15.6, 2)","0 (0, 0)","14.5 (6.8, 22.3)"
