COHORT,tvar,xvar,raceeth_category,yvar_0,yvar_1,SE_0,SE_1,diff_tests,se_diff_tests,lci_diff_tests,uci_diff_tests
Exposed,1,exposed,Overall,0.4609898641264234,0.8375951305616792,0.0040271091377827774,0.006812726408221967,0.3766052664352558,0.007913965448553495,0.361093894156091,0.39211663871442065
Historical,1,historical,Overall,0.33135965532843853,0.3953240138610208,0.004715937622944006,0.005530858194269187,0.06396435853258226,0.007268456509370705,0.04971818377421568,0.07821053329094883
Unexposed,1,unexposed,Overall,0.41348155519841984,0.9157072752965102,0.002703906399001466,0.005478677843864173,0.5022257200980904,0.006109584333766845,0.4902509348039074,0.5142005053922735
Exposed,Hispanic,exposed,Hispanic,0.43795331350511746,0.680427796504017,0.006611568429882876,0.010021788292252502,0.2424744829988995,0.012006209963087986,0.21894231147124704,0.266006654526552
Exposed,NH Black,exposed,NH Black,0.5859133264470777,1.1463192603624677,0.007476858939560404,0.01326694664927339,0.56040593391539,0.015228765314258106,0.530557553899444,0.5902543139313359
Exposed,NH Other,exposed,NH Other,0.4460613103814928,0.9367038850041788,0.01364621462596605,0.025381251165517163,0.49064257462268596,0.028817131785536812,0.4341609963230338,0.5471241529223381
Exposed,NH White,exposed,NH White,0.4141773189027424,0.7525959130405311,0.0046916608275894695,0.007957542869004741,0.3384185941377887,0.009237649583805706,0.3203128009535295,0.3565243873220479
Historical,Hispanic,historical,Hispanic,0.2856573709893277,0.36591147989520195,0.006575641681241,0.007909382856621561,0.08025410890587426,0.010285786342943987,0.06009396767370404,0.10041425013804448
Historical,NH Black,historical,NH Black,0.4567152672072343,0.5512822292991139,0.008845919870054689,0.010378812332388656,0.09456696209187954,0.013637083404393008,0.06783827861926925,0.12129564556448982
Historical,NH Other,historical,NH Other,0.3181998155409787,0.4036928556077952,0.012566060662210263,0.014975200872534645,0.08549304006681652,0.019548977511345975,0.047177044144578406,0.12380903598905463
Historical,NH White,historical,NH White,0.2962236430753612,0.3398075871391694,0.004877213360483374,0.005512466419929627,0.04358394406380822,0.0073603326143951734,0.029157692139593683,0.05801019598802276
Unexposed,Hispanic,unexposed,Hispanic,0.34335733062526097,0.7583743921987474,0.0036524489573663533,0.007149239946804357,0.4150170615734864,0.00802820124331408,0.3992817871365908,0.430752336010382
Unexposed,NH Black,unexposed,NH Black,0.5867994697367608,1.2686117564372235,0.00497664000136122,0.009399398278787309,0.6818122867004627,0.010635583374052333,0.6609665432873201,0.7026580301136053
Unexposed,NH Other,unexposed,NH Other,0.39600445631800335,0.830809217119348,0.006658544531256398,0.01209355793448099,0.4348047608013446,0.013805446707346075,0.4077460852549463,0.4618634363477429
Unexposed,NH White,unexposed,NH White,0.3655908676972023,0.8235959638431036,0.002607344795041217,0.005199149802094685,0.45800509614590135,0.005816305145438101,0.4466051380608427,0.46940505423096
