Estimate,SE,dfcom,LCI,UCI,term,exposure,exposure_value,modifier_value,outcome,modifier_var,modifier1,modifier1_value
-0.3622141191774378,0.057108566842176044,218848,-0.47414691018810284,-0.25028132816677273,Contrast 3,COHORThistorical,1,NA,CPIT2DM,NA,NA,NA
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,NA,NA,NA
-0.21664877515284556,0.036325788524918266,218848,-0.2878473206616854,-0.14545022964400575,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,NA,NA,NA
-0.2147178108355821,0.0611563329897402,218848,-0.3345842234954729,-0.09485139817569133,Contrast 3,COHORThistorical,1,NA,CPIT2DM,Overlap,NA,NA
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,Overlap,NA,NA
-0.1490476635364226,0.03694762413797481,218848,-0.22146500684685322,-0.07663032022599198,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,Overlap,NA,NA
-0.3158223920363396,0.07556547328292526,218848,-0.4639307196708731,-0.16771406440180608,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
-0.27057177777472796,0.05330566743284148,218848,-0.37505088594309727,-0.16609266960635866,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_category,sex_categoryMale,1
-0.314493373867741,0.07136685028741727,218848,-0.45437240043107885,-0.17461434730440317,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
-0.20872806250914555,0.04765867966470123,218848,-0.30213907465195994,-0.11531705036633115,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_category,sex_categoryFemale,1
-0.1435184723776456,0.13983901107782887,218848,-0.41760293409019017,0.130565989334899,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category18 to 39,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category18 to 39,1
-0.313467986321233,0.11231194331993789,218848,-0.5335993952283113,-0.09333657741415474,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category18 to 39,1
-0.34463667628573524,0.06992502739066715,218848,-0.4816897299714429,-0.20758362260002763,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category40 to 64,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category40 to 64,1
-0.24267071198666024,0.04660869721568458,218848,-0.334023758529402,-0.15131766544391845,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category40 to 64,1
-0.2562620465953161,0.08783329319036956,218848,-0.4284153012484404,-0.08410879194219176,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category,age_category65 plus,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category,age_category65 plus,1
-0.2035227483047892,0.06292033848134847,218848,-0.3268466117282322,-0.0801988848813462,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category,age_category65 plus,1
-0.2210206326430741,0.10534178322746396,206861,-0.42749052776890345,-0.014550737517244727,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
0,0,206861,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
-0.11395087188678231,0.07740373794247067,206861,-0.2656621982540248,0.03776045448046021,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryHispanic,1
-0.3254536172671493,0.08010790634785975,206861,-0.4824651137089544,-0.16844212082534418,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
0,0,206861,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
-0.2883636902877566,0.05745126704740524,206861,-0.40096817370067084,-0.17575920687484234,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH White,1
-0.31094331597272384,0.08485349991496163,206861,-0.4772561758060486,-0.14463045613939904,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
0,0,206861,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
-0.215978433673307,0.05722900451866865,206861,-0.32814728252989755,-0.10380958481671644,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_category,raceeth_categoryNH Black,1
-0.3788247544216957,0.15028715288652378,218848,-0.6733875740792823,-0.08426193476410909,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
-0.36794441890348173,0.06706094771822507,218848,-0.49938387643120286,-0.2365049613757606,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization_category,hospitalization,1
-0.24592434084991582,0.062331203342627074,218848,-0.3680934994014649,-0.12375518229836675,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization_category,,1
0,0,218848,0,0,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization_category,,1
-0.2048763309386251,0.04270904467776715,218848,-0.2885860585070487,-0.12116660337020148,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization_category,,1
