time,surv,COHORT,modifier,se,ci_lower,ci_upper,exposed_surv,exposed_se,reduced_surv_est,reduced_surv_se,reduced_surv_lci,reduced_surv_uci
180,0.9766731999662966,exposed,NA,7.991756344194995e-4,0.9751068445055124,0.9782395554270807,0.9811335898038291,3.9310015647875895e-4,-4.460389837532497,8.906230558847185e-4,-6.206011027066546,-2.7147686479984485
365,0.9560288473997883,exposed,NA,0.0014280362206781632,0.9532299478386405,0.9588277469609362,0.9642990223987684,6.901433641218964e-4,-8.270174998980085,0.0015860596806584108,-11.378851973070569,-5.1614980248896
180,0.9836486433672487,historical,NA,8.416082610700257e-4,0.98199912148646,0.9852981652480373,0.9811335898038291,3.9310015647875895e-4,2.5150535634195226,9.288876132907239e-4,0.6944338413697039,4.3356732854693405
365,0.9689902908406455,historical,NA,0.0015100334168232053,0.96603067972822,0.9719499019530708,0.9642990223987684,6.901433641218964e-4,4.691268441877061,0.0016602706956891857,1.4371378783262574,7.945399005427865
180,0.9811335898038291,unexposed,NA,3.9310015647875895e-4,0.9803631276548137,0.9819040519528446,0.9811335898038291,3.9310015647875895e-4,0,5.559275726632468e-4,NA,NA
365,0.9642990223987684,unexposed,NA,6.901433641218964e-4,0.9629463662609201,0.9656516785366166,0.9642990223987684,6.901433641218964e-4,0,9.760101055229792e-4,NA,NA
180,0.9796020343729511,exposed,Female,9.2954626009002e-4,0.9777801571812108,0.9814239115646914,0.9833817347539717,4.3889145349720123e-4,-3.779700381020601,0.001027950367284447,-5.794483100898117,-1.764917661143085
365,0.9615657811096705,exposed,Female,0.0016899536267973587,0.9582535328656048,0.9648780293537361,0.9685838006516102,7.78639723088397e-4,-7.018019541939702,0.0018607049951823965,-10.665001332497198,-3.3710377513822047
180,0.9716538803043255,exposed,Male,0.0013635995269031644,0.9689812743422594,0.9743264862663915,0.9782298054906228,6.449490639028624e-4,-6.575925186297238,0.0015084306297605179,-9.532449220627853,-3.6194011519666227
365,0.9469554399781818,exposed,Male,0.0024482610131849247,0.9421569365675858,0.9517539433887777,0.9590291665693678,0.001175379615580811,-12.073726591185995,0.0027157870368282135,-17.396669183369294,-6.750783999002697
180,0.9850249561900709,historical,Female,9.850427726979427e-4,0.9830943078323515,0.9869556045477903,0.9833817347539717,4.3889145349720123e-4,1.6432214360991848,0.0010783946272109003,-0.47043203323417954,3.756874905432549
365,0.9716492568506442,historical,Female,0.001794710136519777,0.9681316896203764,0.9751668240809119,0.9685838006516102,7.78639723088397e-4,3.065456199033978,0.001956339513606473,-0.7689692476347092,6.899881645702665
180,0.9791732186283035,historical,Male,0.0013105139131215822,0.9766046585573466,0.9817417786992604,0.9782298054906228,6.449490639028624e-4,0.9434131376807597,0.0014606183661430593,-1.9193988599596365,3.806225135321156
365,0.9607724574397465,historical,Male,0.0023616587142469706,0.9561436914160473,0.9654012234634458,0.9590291665693678,0.001175379615580811,1.743290870378722,0.0026379820172437777,-3.4271538834190824,6.913735624176526
180,0.9833817347539717,unexposed,Female,4.3889145349720123e-4,0.9825215233119947,0.9842419461959486,0.9833817347539717,4.3889145349720123e-4,0,6.206862459453825e-4,NA,NA
365,0.9685838006516102,unexposed,Female,7.78639723088397e-4,0.9670576948374248,0.9701099064657958,0.9685838006516102,7.78639723088397e-4,0,0.0011011628565940422,NA,NA
180,0.9782298054906228,unexposed,Male,6.449490639028624e-4,0.9769657285535104,0.9794938824277352,0.9782298054906228,6.449490639028624e-4,0,9.120957132112599e-4,NA,NA
365,0.9590291665693678,unexposed,Male,0.001175379615580811,0.9567254648546668,0.9613328682840686,0.9590291665693678,0.001175379615580811,0,0.0016622377932912578,NA,NA
180,0.9756214431839244,exposed,Hispanic,0.0017590029171386918,0.9721738608176317,0.9790690255502172,0.9781940788027431,9.267626171103846e-4,-2.5726356188187083,0.0019882103035080865,-6.469527813694558,1.3242565760571414
365,0.9542704452557982,exposed,Hispanic,0.003188938233346611,0.948020241169516,0.9605206493420804,0.9590101825335152,0.0016911307923148289,-4.739737277717038,0.0036096052987570795,-11.814563663280913,2.3350891078468377
180,0.9663439845184855,exposed,NH Black,0.0018064916828106593,0.9628033258818054,0.9698846431551655,0.9727172138884991,9.274165709524257e-4,-6.373229370013611,0.0020306436654768463,-10.35329095434823,-2.393167785678992
365,0.9373397776273008,exposed,NH Black,0.0032506096932080598,0.9309686997008162,0.9437108555537854,0.9489433743986434,0.001660389621211707,-11.603596771342595,0.0036501174052084614,-18.75782688555118,-4.44936665713401
180,0.9808599758265109,exposed,NH White,0.001033386138076244,0.9788345762137585,0.9828853754392632,0.9855907917655957,4.2526423869470003e-4,-4.730815939084865,0.001117468828684146,-6.921054843305791,-2.5405770348639387
365,0.9639426487297365,exposed,NH White,0.0018898144243469364,0.9602386805205522,0.9676466169389207,0.9727486720687015,7.733291833144749e-4,-8.806023338965074,0.0020419198280626923,-12.808186201967953,-4.803860475962198
180,0.9803679964763282,historical,Hispanic,0.001715552955450541,0.9770055744700739,0.9837304184825825,0.9781940788027431,9.267626171103846e-4,2.173917673585102,0.0019498745835125845,-1.647836510099564,5.995671857269768
365,0.9630307738683089,historical,Hispanic,0.0031176809551463906,0.9569202314809356,0.9691413162556823,0.9590101825335152,0.0016911307923148289,4.020591334793711,0.003546809537429081,-2.9311553585672883,10.97233802815471
180,0.9751321765664827,historical,NH Black,0.001884655159643106,0.9714383203303046,0.9788260328026608,0.9727172138884991,9.274165709524257e-4,2.4149626779835787,0.002100482460494859,-1.7019829445863452,6.531908300553503
365,0.9533712643764476,historical,NH Black,0.003402464935911718,0.9467025556434002,0.960039973109495,0.9489433743986434,0.001660389621211707,4.427889977804189,0.0037859822152694123,-2.992635164123859,11.848415119732238
180,0.9861086838415999,historical,NH White,0.0010077375681670972,0.9841335545021244,0.9880838131810753,0.9855907917655957,4.2526423869470003e-4,0.5178920760041672,0.0010937937095302375,-1.6259435946750982,2.6617277466834324
