term,estimate,std.error,robust.se,statistic,p.value,model
COHORThistorical,-0.39911042824743137,0.1648456750085085,0.09897171598581846,-4.032570560912771,5.5170042092273184e-5,Overall
COHORTunexposed,0.1311132834715628,0.1181935227831265,0.0877908447232871,1.4934733101706237,0.13531333559156017,Overall
age,0.008246803632319024,0.0024888161297894314,0.002628945984231643,3.1369239542322895,0.0017073040347749023,Overall
nhblack,-0.16761232570308304,0.11990824629749626,0.10540289882662028,-1.590206033885202,0.11178837087433881,Overall
hispanic,0.07284944822568984,0.09014076794635431,0.07767682265006219,0.9378530910549739,0.3483199128143482,Overall
nhother,-0.3792956480755492,0.22541266822423497,0.1999109533413652,-1.8973229917415741,0.0577853223156502,Overall
smoking,-0.2975095869958506,0.15883892572294034,0.15022855614611222,-1.9803797269175172,0.047660876217794565,Overall
siteSource2,3.2728487310828425,0.19710671856655712,0.18361896330513422,17.82413249792773,4.591579428036592e-71,Overall
siteSource3,-2.1231168224287407,0.8980827410372842,0.8020263317070611,-2.647190919417601,0.008116351617298663,Overall
siteSource4,-1.2623054030051017,0.5962184289203594,0.6026670050600905,-2.0945321253803173,0.03621260439776608,Overall
siteSource5,2.753419478804016,0.17650093571491304,0.1696264259251818,16.232255462474253,2.982942355785808e-59,Overall
siteSource6,4.51223278802322,0.24438230761493349,0.23349296857731555,19.32491935631502,3.315014032882985e-83,Overall
siteSource7,-1.582225094214288,0.7189522597984688,0.7374781866849349,-2.145453415139783,0.0319166122616465,Overall
hospitalization,0.4129069587223565,0.09906180453944573,0.09128540165884602,4.523252910311796,6.089640148063889e-6,Overall
bmi,-0.017475333829788824,0.006165517221735034,0.005790668557597674,-3.0178439079992287,0.0025457999648175497,Overall
ldl,0.0023099045124830267,0.003047376731364978,0.0028027681304346364,0.8241511266666289,0.4098536929249962,Overall
COHORThistorical,-0.4139842233515275,21.55795849167423,0.10452292466148744,-3.960702637170507,7.472954634605334e-5,Overlap
COHORTunexposed,0.2377620820231236,22.37175098135244,0.09047683185857312,2.6278780671142,0.008591930703243798,Overlap
age,0.007281039521420491,0.5604380354840056,0.0030742483564259802,2.3683966541614057,0.01786537078399481,Overlap
nhblack,-0.0255041327392986,24.743173663999734,0.11146434148774668,-0.22880979153411388,0.8190167561213663,Overlap
hispanic,0.0816552461513665,20.71695933263754,0.09073984663625664,0.8998830081639103,0.36818251357511544,Overlap
nhother,-0.6865101769884295,60.451344057021956,0.22952159203793976,-2.9910483405628776,0.0027802147802055165,Overlap
smoking,-0.07298817496401983,35.35565485086503,0.1691588354165935,-0.4314771663228187,0.6661214518071193,Overlap
siteSource2,3.858969943413355,56.485945921864605,0.2618939102965742,14.734859390366793,3.8499784069295994e-49,Overlap
siteSource3,-0.9898389297852971,154.34321088916505,0.9095669589643607,-1.0882529538147852,0.2764834534055416,Overlap
