term,estimate,std.error,robust.se,statistic,p.value,model
COHORThistorical,-0.41185132197930924,0.05078129396478902,0.034622170881491346,-11.89559497551555,1.247607076468561e-32,Overall
COHORTunexposed,-0.1681207220540742,0.03340710877546995,0.026109457769320468,-6.439073669757399,1.2020485008324451e-10,Overall
age,0.029488133493388843,6.925773807674721e-4,5.755915383481215e-4,51.23100589354778,0,Overall
nhblack,0.562576379617271,0.026400880303195606,0.02479422895697404,22.689811431261766,5.647928340764388e-114,Overall
hispanic,0.3501103511979266,0.03236956078964489,0.0292872628046038,11.954355500333445,6.1609693332502865e-33,Overall
nhother,0.20963220811328617,0.055096451459240144,0.050164815032251966,4.178869352523465,2.929619110976272e-5,Overall
smoking,0.044309112192575835,0.030303853453073046,0.028528438557659675,1.5531558834887291,0.12038589801683341,Overall
siteSource2,-0.03261461470356598,0.04236965836162424,0.03752689303363385,-0.8690997859677542,0.3847925537799646,Overall
siteSource3,-0.6382723654821132,0.0582602074923641,0.05557979561597923,-11.483891914467737,1.5896046047913276e-30,Overall
siteSource4,-0.11847684354595352,0.044754450893339286,0.042845275159008586,-2.7652254094823507,0.005688347364184139,Overall
siteSource5,0.5130978653464562,0.04470604779716537,0.042315529836027724,12.125521465398295,7.736616863210919e-34,Overall
siteSource6,-1.8561756449733764,0.762395227514036,0.727099803699677,-2.552848502404569,0.010684595905496915,Overall
siteSource7,-0.10606521585467596,0.04996312922840927,0.048869101627512644,-2.170394222982046,0.029976994073611648,Overall
hospitalization,0.29884459187508705,0.025008395213425526,0.0230093796172866,12.987946517713569,1.432183660421882e-38,Overall
bmi,0.04936162460639676,0.001340837057750279,0.0012199642461967089,40.4615338197687,0,Overall
ldl,-0.005637481314882479,4.330594482424481e-4,4.7186135352286806e-4,-11.947325782867418,6.704811576828292e-33,Overall
COHORThistorical,-0.3336376852956137,6.25591876222118,0.03541617236242664,-9.420489653183786,4.4898926495768004e-21,Overlap
COHORTunexposed,-0.12934970921431946,6.182421491929449,0.026288321730264175,-4.920424762810433,8.635659206706953e-7,Overlap
age,0.029455017117504433,0.14990443818313762,6.948403838141587e-4,42.391055274908204,0,Overlap
nhblack,0.5004088313631484,5.741404739922184,0.029543171912504305,16.938222911377625,2.3512062413002238e-64,Overlap
hispanic,0.2921079927705508,7.217591002480524,0.035469218170829694,8.235535143844356,1.7875676111247084e-16,Overlap
nhother,0.22819432318095817,12.151470372846411,0.0629021739521626,3.6277652876433333,2.85884969204519e-4,Overlap
smoking,0.06464291577081659,7.212204139640375,0.036990004192262727,1.7475779520008292,0.08053713591292665,Overlap
siteSource2,-0.09344497543015802,10.216671658090254,0.04904731557607346,-1.9052006074669432,0.056753999280369845,Overlap
siteSource3,-0.4798273300281955,11.658487181213054,0.06661204170233183,-7.203312160470809,5.876722125597307e-13,Overlap
siteSource4,-0.20695192658880304,9.65492890925984,0.0523557205330024,-3.952804478325363,7.724054949934034e-5,Overlap
siteSource5,0.3753240984739812,8.641361195581386,0.04432828144859629,8.4669219335564,2.5196284095178204e-17,Overlap
siteSource6,-1.4341151747485548,115.94463711106175,0.854185159778375,-1.6789277574438863,0.0931661240795372,Overlap
siteSource7,-0.19071139275814009,11.769817089184118,0.05989546318519466,-3.1840707562185,0.0014521951075192614,Overlap
hospitalization,0.4009999819150406,5.874885876641511,0.030022559972872613,13.356621896246384,1.0837171137290982e-40,Overlap
bmi,0.04943472063400689,0.2935092923440313,0.001440158006428836,34.32590063960434,3.2242107107189864e-258,Overlap
ldl,-0.005929699475359184,0.0992272403807875,5.846024038426105e-4,-10.14313221496025,3.555139430588198e-24,Overlap
COHORThistorical,-0.4355589493101541,0.0362654105741343,0.045574337299287775,-9.557109880717034,1.2109097350098197e-21,Sex
COHORTunexposed,-0.1521181832864221,0.027962750437542358,0.0342523041764412,-4.441108034742062,8.949684620750999e-6,Sex
sex_categoryMale,0.2656846303016145,0.03926049403316258,0.045010006901038055,5.902790259192052,3.5740453742992186e-9,Sex
age,0.030496861252737272,6.163399369976194e-4,6.017396791469545e-4,50.68115384375284,0,Sex
nhblack,0.5860652470020712,0.02362516369303684,0.02578081757488559,22.732609053212773,2.1327790163265667e-114,Sex
hispanic,0.3452301788878086,0.029516784570766803,0.03049987197073538,11.319069772458615,1.0558634127749652e-29,Sex
nhother,0.22482354648816616,0.05041328419415543,0.052818160663436003,4.256557662444367,2.0759851239031878e-5,Sex
smoking,0.05357401221428378,0.028465280529014987,0.029567479085366888,1.8119235684450983,0.06999800715223592,Sex
siteSource2,-0.06936509325258745,0.03972288842686712,0.03913245676162982,-1.772571900484443,0.07629967134132604,Sex
siteSource3,-0.5468192970921469,0.05068002112508384,0.05784064350381456,-9.453893732286788,3.264556215752058e-21,Sex
siteSource4,-0.1440749835334651,0.04036846431703741,0.044744290896109665,-3.2199635003265152,0.0012820691917307112,Sex
