Estimate,SE,dfcom,LCI,UCI,term,exposure,exposure_value,modifier_value,outcome,modifier1,modifier1_value,modifier_var
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,NA,NA,NA
0.4461976633783066,0.06700457942924765,102115,0.3148686876969812,0.577526639059632,Contrast 3,COHORTexposed,1,NA,CPIT2DM,NA,NA,NA
0.18082096910663037,0.05760679831039613,102115,0.06791164441825395,0.2937302937950068,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,NA,NA,NA
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_categoryMale,1,sex_category
0.37248643392974284,0.09751194765898609,102115,0.1813630165181301,0.56360985134135555,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_categoryMale,1,sex_category
0.062492738764703196,0.07877884802366313,102115,-0.09191380336167652,0.2168992808910829,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_categoryMale,1,sex_category
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,sex_categoryFemale,1,sex_category
0.4749216958039873,0.0881776400127824,102115,0.3020935213789338,0.6477498702290407,Contrast 3,COHORTexposed,1,NA,CPIT2DM,sex_categoryFemale,1,sex_category
0.1969724289915914,0.07621659155343113,102115,0.04758790954686637,0.3463569484363164,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,sex_categoryFemale,1,sex_category
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category18 to 39,1,age_category
0.1131312530332655,0.1721962034039174,102115,-0.22437330563841257,0.45063581170494355,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category18 to 39,1,age_category
-0.2017557586332444,0.14188738520327168,102115,-0.4798550336316569,0.07634351636516806,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category18 to 39,1,age_category
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category40 to 64,1,age_category
0.4443187728714711,0.08647857637715618,102115,0.27482076317224496,0.6138167825706973,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category40 to 64,1,age_category
0.15430533058120618,0.07358806387170846,102115,0.010072725392657605,0.29853793576975474,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category40 to 64,1,age_category
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,age_category65 plus,1,age_category
0.4894918491113592,0.12168450955259595,102115,0.25099021038827113,0.7279934878344472,Contrast 3,COHORTexposed,1,NA,CPIT2DM,age_category65 plus,1,age_category
0.19373262465554325,0.09851693872703701,102115,6.394247505507045e-4,0.3868258245605358,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,age_category65 plus,1,age_category
0,0,96521,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_categoryHispanic,1,raceeth_category
0.2676878699431619,0.23494362773791685,96521,-0.19280164042315512,0.7281773803094789,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_categoryHispanic,1,raceeth_category
0.2004094836761106,0.19677039747989886,96521,-0.18526049538449113,0.5860794627367123,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_categoryHispanic,1,raceeth_category
0,0,96521,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_categoryNH White,1,raceeth_category
0.39327037667402254,0.0969615030690806,96521,0.20322583065862454,0.5833149226894205,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_categoryNH White,1,raceeth_category
0.08512985073115675,0.0786943244413514,96521,-0.06911102517389198,0.23937072663620548,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_categoryNH White,1,raceeth_category
0,0,96521,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,raceeth_categoryNH Black,1,raceeth_category
0.5398183827639949,0.10207352643069567,96521,0.33975427095983135,0.7398824945681584,Contrast 3,COHORTexposed,1,NA,CPIT2DM,raceeth_categoryNH Black,1,raceeth_category
0.2469934212726782,0.0893057906591778,96521,0.0719540715806897,0.42203277096466674,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,raceeth_categoryNH Black,1,raceeth_category
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,hospitalization,1,hospitalization_category
0.6511977542505334,0.18535108130189765,102115,0.287909634898814,1.0144858736022528,Contrast 3,COHORTexposed,1,NA,CPIT2DM,hospitalization,1,hospitalization_category
0.2535352461380843,0.17368189827716415,102115,-0.08688127448515742,0.5939517667613261,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,hospitalization,1,hospitalization_category
0,0,102115,0,0,Contrast 3,COHORThistorical,1,NA,CPIT2DM,,1,hospitalization_category
0.34091080682643876,0.07502689308895735,102115,0.19385809637208234,0.4879635172807952,Contrast 3,COHORTexposed,1,NA,CPIT2DM,,1,hospitalization_category
0.08482975320861247,0.06136605420158692,102115,-0.03544771302649789,0.20510721944372284,Contrast 3,COHORTunexposed,1,NA,CPIT2DM,,1,hospitalization_category
