term,estimate,std.error,robust.se,statistic,p.value,model
COHORThistorical,-0.4461976633783066,0.09722493956846737,0.06700457942924765,-6.659211462545802,2.753005996493397e-11,Overall
COHORTunexposed,-0.2653766942716762,0.0658285080509746,0.05128094793127275,-5.174956879255367,2.2796362338947374e-7,Overall
age,0.024060798145456877,0.0013703068872533443,0.0010682045976964805,22.52452217238397,2.3872057378152786e-112,Overall
nhblack,0.5152623607854473,0.048085487282105994,0.04418556090582781,11.661328955031717,2.008822528550693e-31,Overall
hispanic,0.19378200713952193,0.07650684633174624,0.07034221029902107,2.754846717437008,0.0058719637928483556,Overall
nhother,0.2729670433088862,0.10461744226324322,0.09202411084663882,2.966255699702382,0.0030144974731174056,Overall
smoking,0.7503826243719084,0.06742372511897872,0.057468861565795185,13.057203569498366,5.7812675537386215e-39,Overall
siteSource2,1.1098982092123544,0.41652991924936433,0.35181264988760674,3.1547990374050863,0.0016060869232776406,Overall
siteSource3,-0.45239429095226985,0.12625627546231324,0.11293207228039409,-4.005897366596089,6.178247320322336e-5,Overall
siteSource4,-0.9232594759039366,0.11985594824684404,0.11024042134748646,-8.37496323597812,5.524111377878311e-17,Overall
siteSource5,0.35103516161303916,0.09239292411747742,0.08078826304660844,4.3451257444478,1.3919590372259898e-5,Overall
siteSource6,-12.208846360625303,357.22850907255264,0.12265421162430137,-99.53874554281,0,Overall
siteSource7,0.5280168305979106,0.09551647075812739,0.08635197932951973,6.114704430607142,9.673608868241034e-10,Overall
hospitalization,0.09232234853818072,0.04905362491796776,0.04338280068690704,2.128086409277022,0.03332991992914802,Overall
bmi,0.0597276170311713,0.0024491940997598753,0.0020700490555820147,28.85323749701105,4.614501427397381e-183,Overall
ldl,-0.002901811945708717,7.558506302494744e-4,7.973172903951344e-4,-3.6394694818052136,2.732003118312833e-4,Overall
COHORThistorical,-0.3616224334175457,12.038359838088674,0.06856002728887889,-5.274537477849056,1.330913191073788e-7,Overlap
COHORTunexposed,-0.224909336316331,12.00148578904108,0.05100722443067021,-4.409362376147935,1.036754185207624e-5,Overlap
age,0.02029053841609582,0.2910782989211726,0.0013482471442297383,15.049568992551382,3.4749083260158725e-51,Overlap
nhblack,0.42179641445178145,10.248760448881029,0.052662218228240465,8.009469191436192,1.1520459344616269e-15,Overlap
hispanic,0.1106574406784713,17.641779141134027,0.0867602698381231,1.2754391023095644,0.20215386588986156,Overlap
nhother,0.4122459141274075,21.02137397035183,0.11223504760413196,3.6730586650745147,2.3966443370291177e-4,Overlap
smoking,0.359905830515655,15.385220622504049,0.07266995167301499,4.952608639883012,7.322515046362601e-7,Overlap
siteSource2,0.42975335078943555,77.71046635134147,0.33468026125013045,1.2840713975308218,0.1991169748561098,Overlap
siteSource3,-1.4032209464808696,30.45094745569621,0.1382559617132135,-10.149442592512521,3.332613976992503e-24,Overlap
siteSource4,-1.491057488455852,25.0030762038968,0.12388686671957262,-12.03563806186958,2.3084233150017036e-33,Overlap
siteSource5,0.16739046628515822,15.701501744878028,0.08078035089411802,2.072168100687796,0.03824976715869856,Overlap
siteSource6,-15.39005307464394,269498.7001218668,0.15392237718895418,-99.98580684438888,0,Overlap
siteSource7,-0.06272449819403185,21.73883113690113,0.10497229820256924,-0.5975338186174592,0.5501510350692942,Overlap
hospitalization,0.1996728315924653,11.505951823979256,0.05441642239721923,3.669348751649445,2.4316915600637134e-4,Overlap
bmi,0.0582302322035392,0.5220252928871424,0.0024062570104953517,24.199506515537145,2.2514967800218248e-129,Overlap
ldl,-0.0037925740269987933,0.16700438165979264,9.38348978996535e-4,-4.041752175245664,5.3053286046096215e-5,Overlap
COHORThistorical,-0.4749216958039873,0.06831634830371211,0.0881776400127824,-5.385965146437824,7.205692629017131e-8,Sex
COHORTunexposed,-0.2779492668123959,0.053899788447301304,0.06649136081150352,-4.180231287495451,2.9121274997332338e-5,Sex
sex_categoryMale,0.3184830555836275,0.07911396379119251,0.08983750308504836,3.5451013735557906,3.9246211570374427e-4,Sex
age,0.023006842417293557,0.0012138858570913385,0.0011666862615431824,19.719819437028665,1.4574785449225947e-86,Sex
nhblack,0.5417488820009597,0.04279465811739216,0.04662951098757133,11.618154909352533,3.332556918867021e-31,Sex
hispanic,0.1705473854169621,0.07138814857187786,0.07464721663006832,2.284711917152242,0.022329725390397022,Sex
nhother,0.32369125853766045,0.09243239347223621,0.09575955849484413,3.380250114197097,7.241989451956686e-4,Sex
smoking,0.5957693924245862,0.0619814521824218,0.05835624710358596,10.209179342308605,1.8038399929477186e-24,Sex
siteSource2,0.6372573442684555,0.3560537030585297,0.3154074571894601,2.0204257373840893,0.043339245993046775,Sex
siteSource3,-0.754917331146288,0.11554990044117502,0.12466113186544424,-6.055755469644899,1.397601742419366e-9,Sex
siteSource4,-1.1759512443643696,0.10709406155042431,0.11285394363449193,-10.420116537291833,2.0070711790636912e-25,Sex
siteSource5,0.2655018463951686,0.0719916137746389,0.07553894377761824,3.5147677888744226,4.401386662379923e-4,Sex
siteSource6,-12.296178130644524,288.40283073494305,0.13692371433637365,-89.80313008772985,0,Sex
siteSource7,0.289015232473181,0.0881876141033849,0.0889866864337054,3.247848010258206,0.001162813669626255,Sex
hospitalization,0.1278830172718534,0.04558802097460746,0.047359183478151046,2.700279183040638,0.006928131102120268,Sex
bmi,0.059747885158063764,0.0021777346681386292,0.0021474102479644964,27.823228102174724,2.2716458309764628e-170,Sex
ldl,-0.002489183829528709,6.891546666225619e-4,8.426755118288407e-4,-2.9539055005010013,0.003137800735523366,Sex
COHORThistorical:sex_categoryMale,0.10243526187424445,0.1173853713141936,0.12666839362764126,0.8086884102704156,0.41869439628118127,Sex
COHORTunexposed:sex_categoryMale,-0.03204442835264375,0.09724015452397237,0.09990600254495377,-0.32074577639341556,0.7484030540220511,Sex
COHORThistorical,-0.1131312530332655,0.18025642564876823,0.1721962034039174,-0.656990402790099,0.5111870874554971,Age
COHORTunexposed,-0.3148870116665099,0.17778693672017135,0.15026450139219802,-2.095551569060471,0.036121989288400186,Age
age_category40 to 64,0.7710766932880534,0.15378082159984077,0.15162888532482827,5.085288938424943,3.670668251924873e-7,Age
age_category65 plus,0.5412684590805638,0.21403995755024466,0.19537516796475587,2.7704055982088995,0.0055986526776464676,Age
age,0.018051957112312993,0.003227883770846893,0.0026832701123714027,6.727595939403638,1.7248910454438368e-11,Age
nhblack,0.44761284122914635,0.05104578122445689,0.04602956034339444,9.724464841502268,2.371491017887671e-22,Age
hispanic,0.09371855928795701,0.08518550796467583,0.07378980971866697,1.2700745488472045,0.20405807653492036,Age
nhother,0.304467216827876,0.10797449619520263,0.09665949154882428,3.149894665792698,0.0016332933853169286,Age
smoking,0.610292306737837,0.07454079126234407,0.05752215732472366,10.609690858648074,2.6863640923938447e-26,Age
siteSource2,0.7587006720142996,0.4008133671660222,0.3103078902559299,2.4449931691667675,0.014485488545356409,Age
siteSource3,-0.8250208244054078,0.1409412290412486,0.12102167276434748,-6.817132878438082,9.287535486925614e-12,Age
siteSource4,-1.13644946663934,0.1254098500555842,0.1105535308666886,-10.279630670590992,8.706057199182778e-25,Age
siteSource5,0.30809189701804307,0.08795045574726164,0.07515395909300779,4.099476604243295,4.140855249350709e-5,Age
siteSource6,-12.020982596173932,348.82037104749344,0.15372738988164134,-78.19675209101771,0,Age
siteSource7,0.2343482409713513,0.10590443384081262,0.08830417339976916,2.6538750315957764,0.007957329068369995,Age
hospitalization,0.163408800301885,0.05468360633418278,0.04666608828275701,3.5016605487000745,4.6236830111533113e-4,Age
bmi,0.05598331488798721,0.002617608890125557,0.002144251954082033,26.108552580032043,2.915347623070497e-150,Age
ldl,-0.003982597038742355,8.088202530682891e-4,8.255234749039467e-4,-4.824329240553393,1.4047520701061524e-6,Age
COHORThistorical:age_category40 to 64,-0.3311875198382056,0.19560634177269104,0.19099441787310317,-1.7340167504698845,0.08291511114657713,Age
COHORTunexposed:age_category40 to 64,0.02487356937624498,0.18907216261652793,0.1631747106977767,0.15243519826006893,0.8788436972553093,Age
COHORThistorical:age_category65 plus,-0.3763605960780937,0.2377345932068954,0.20983927574304229,-1.7935660268812799,0.07288246312252407,Age
COHORTunexposed:age_category65 plus,0.019127787210693983,0.21240945951019952,0.1751502706578179,0.10920786555941417,0.9130376218116204,Age
COHORThistorical,-0.2676878699431619,0.30286064377299415,0.23494362773791685,-1.1393706333749631,0.2545485991351325,Race-Ethnicity
COHORTunexposed,-0.06727838626705128,0.22375114369553206,0.16753259095827772,-0.4015838702321883,0.6879903025071936,Race-Ethnicity
raceeth_categoryNH Black,0.5193006760724239,0.19521814685090047,0.16497673142144373,3.1477207215715577,0.0016454882369707283,Race-Ethnicity
raceeth_categoryNH White,0.03143328330715161,0.19058230817471983,0.16660857184610406,0.18866546276014212,0.8503550221322765,Race-Ethnicity
age,0.021043059428583314,0.0014926969673401957,0.0011617736964902089,18.112873008018443,2.5223425286058395e-73,Race-Ethnicity
smoking,0.6124910313739462,0.07526407169935587,0.06092734322213594,10.052810429315057,8.928409574307382e-24,Race-Ethnicity
siteSource2,0.8176583783222555,0.4200133502055023,0.33111750724411004,2.4693903536772295,0.013534348872114724,Race-Ethnicity
siteSource3,-0.8052715408396185,0.14900749163649327,0.131979711365904,-6.101479784321263,1.050909335723756e-9,Race-Ethnicity
siteSource4,-1.1291648415559303,0.12919605644476898,0.11752808443159786,-9.607617166713135,7.424727506534335e-22,Race-Ethnicity
siteSource5,0.36897488080087937,0.08464600329414419,0.07800810690280409,4.729955583470468,2.245689636973649e-6,Race-Ethnicity
siteSource6,-12.31065705890717,405.2915226209897,0.13817950761872852,-89.09177106691769,0,Race-Ethnicity
siteSource7,0.2648890298550105,0.10833188360318162,0.09397744729521999,2.8186446586795473,0.004822687447012969,Race-Ethnicity
hospitalization,0.16964883851807458,0.054631985790340565,0.049449853832141316,3.4307247720883365,0.00060197102557475225,Race-Ethnicity
bmi,0.06368371433277556,0.002664447353408016,0.002218904669456928,28.700518417657847,3.758824327723904e-181,Race-Ethnicity
ldl,-0.0038636585303367774,8.490214489134656e-4,8.614438144261558e-4,-4.485096376146742,7.2880985022482505e-6,Race-Ethnicity
COHORThistorical:raceeth_categoryNH Black,-0.2721305128208329,0.32771163982105006,0.2541665910512789,-1.0706777460218195,0.2843143523723488,Race-Ethnicity
COHORTunexposed:raceeth_categoryNH Black,-0.2255465752242653,0.246063485407246,0.18285929928736383,-1.2334432872884322,0.2174104233538779,Race-Ethnicity
COHORThistorical:raceeth_categoryNH White,-0.1255825067308606,0.31368967211932197,0.2518491183353581,-0.4986418358774519,0.6180317269341127,Race-Ethnicity
COHORTunexposed:raceeth_categoryNH White,-0.2408621396758145,0.2336770156930586,0.18200569166099093,-1.3233769640811635,0.18571004853046974,Race-Ethnicity
COHORThistorical,-0.34091080682643876,0.050949275445253565,0.07502689308895735,-4.543848116197882,5.523646451862011e-6,Hospitalization
COHORTunexposed,-0.2560810536178263,0.04716716154745552,0.06200555203823515,-4.129969739805175,3.628109851068982e-5,Hospitalization
hospitalization,0.29218230364450165,0.09242040007968226,0.09511356767873892,3.0719308588170455,0.002126789817886524,Hospitalization
age,0.023572514796316335,0.001113434278700531,0.0011922138227897323,19.772052920136087,5.182368063252142e-87,Hospitalization
nhblack,0.5147544525686025,0.038509747193430276,0.04832632337746571,10.65163696704123,1.713254566344272e-26,Hospitalization
hispanic,0.16747323345536266,0.06621647839283923,0.0791768997726989,2.115177961452708,0.034414782545671783,Hospitalization
nhother,0.45168250213745603,0.0778092139272675,0.09936147301804782,4.545851509824269,5.471360112631767e-6,Hospitalization
smoking,0.6108096084915343,0.05684740840011982,0.06204060225591537,9.845320423743882,7.181003765692086e-23,Hospitalization
siteSource2,0.6736063162688213,0.28403385368898304,0.31702365107904024,2.1247825327104,0.03360476298934,Hospitalization
siteSource3,-1.2140674500879878,0.13709041409686543,0.13039000281654453,-9.311047042434305,1.2657830452691562e-20,Hospitalization
siteSource4,-1.4759458502574931,0.11792700626908444,0.12121386744180099,-12.176377846917113,4.153206303955486e-34,Hospitalization
siteSource5,0.29119645944249284,0.06224533525333234,0.07712471981465013,3.775656626595342,1.5958670774574005e-4,Hospitalization
siteSource6,-12.197847360254007,258.0300784732694,0.1391751438513535,-87.6438638589227,0,Hospitalization
siteSource7,0.17494983311844228,0.0827504697019136,0.09577357776549188,1.826702491440999,0.06774451346448734,Hospitalization
bmi,0.061735136186308166,0.0019862738846697743,0.0022060083248647226,27.984996924294883,2.4741003769782627e-172,Hospitalization
ldl,-0.0035081126850793126,6.21843019852178e-4,8.451465312552869e-4,-4.150892839693433,3.3118080816259985e-5,Hospitalization
COHORThistorical:hospitalization,-0.31028694742409463,0.3579789168697199,0.19723255208783128,-1.5732035312604897,0.1156716979237059,Hospitalization
COHORTunexposed:hospitalization,-0.14158145449462278,0.11529533057469407,0.10762636983399448,-1.3154903831932774,0.18834514726393145,Hospitalization
